,Industry,Region,Invested Amount,Successful Attacks,Failed Attacks,Business Value,Known Vulnerabilities,External Advisor,Risk
0,FINANCIAL SERVICES,NORTH AMERICA,1335499,36,9,5043962,3,NO,MEDIUM
1,AUTOMOTIVE,SOUTH AMERICA,897682,25,30,5010350,3,YES,MEDIUM
2,OTHER,NORTH AMERICA,705482,8,12,5060170,9,YES,HIGH
3,TELECOM,ASIA,1220247,38,24,4953331,3,YES,MEDIUM
4,OTHER,AFRICA,1216607,49,38,4948951,2,YES,MEDIUM
5,TELECOM,EUROPE,171697,43,37,5029285,9,YES,HIGH
6,FINANCIAL SERVICES,AFRICA,9834,42,10,5080693,4,YES,HIGH
7,HEALTHCARE,EUROPE,617025,18,3,4986329,8,NO,MEDIUM
8,ECOMMERCE,EUROPE,189369,35,1,4989674,5,NO,MEDIUM
9,ECOMMERCE,NORTH AMERICA,1272135,0,3,5061659,9,YES,MEDIUM
10,OTHER,ASIA,240132,18,6,4992070,8,YES,MEDIUM
11,EDUCATION,SOUTH AMERICA,1142585,0,29,4984357,3,YES,LOW
12,OTHER,AFRICA,92175,11,18,5004378,8,YES,MEDIUM
13,AUTOMOTIVE,EUROPE,438960,24,4,5012069,1,YES,MEDIUM
14,TELECOM,AFRICA,127583,22,0,4947147,9,NO,MEDIUM
15,AUTOMOTIVE,AFRICA,633652,12,23,5015026,2,NO,LOW
16,AUTOMOTIVE,NORTH AMERICA,1446873,22,41,5013424,0,NO,LOW
17,OTHER,ASIA,899866,17,36,5061887,7,YES,MEDIUM
18,OTHER,EUROPE,304411,15,49,4987766,9,YES,HIGH
19,TELECOM,ASIA,1346955,8,32,5061830,6,NO,LOW
20,AUTOMOTIVE,SOUTH AMERICA,1330318,42,31,5035520,8,YES,MEDIUM
21,TELECOM,AFRICA,961336,12,6,4969120,8,NO,LOW
22,TELECOM,SOUTH AMERICA,769157,16,43,4985563,1,YES,MEDIUM
23,AUTOMOTIVE,NORTH AMERICA,709801,46,16,5103887,9,YES,HIGH
24,HEALTHCARE,ASIA,180610,23,0,5044541,2,YES,MEDIUM
25,TELECOM,AFRICA,1153839,22,14,4985601,3,YES,LOW
26,FINANCIAL SERVICES,AFRICA,159570,4,3,5012212,0,NO,LOW
27,TELECOM,NORTH AMERICA,1099439,41,7,5022883,0,NO,LOW
28,TELECOM,EUROPE,71539,16,48,5011194,1,YES,MEDIUM
29,EDUCATION,NORTH AMERICA,42229,27,43,5044186,8,NO,MEDIUM
30,FINANCIAL SERVICES,NORTH AMERICA,874634,4,42,5022547,7,NO,MEDIUM
31,HEALTHCARE,SOUTH AMERICA,937957,31,31,5002436,5,YES,HIGH
32,HEALTHCARE,EUROPE,848187,3,3,5000388,3,NO,LOW
33,EDUCATION,NORTH AMERICA,1428051,0,40,4986584,9,NO,LOW
34,EDUCATION,EUROPE,1477954,21,0,5037224,8,NO,LOW
35,EDUCATION,ASIA,416907,7,21,4914112,2,NO,LOW
36,FINANCIAL SERVICES,EUROPE,1080560,28,0,5025214,2,NO,LOW
37,TELECOM,ASIA,348684,28,36,5041386,2,YES,MEDIUM
38,HEALTHCARE,EUROPE,422337,23,17,5014971,1,NO,LOW
39,EDUCATION,SOUTH AMERICA,1417678,30,41,5032575,3,NO,LOW
40,OTHER,AFRICA,748831,35,27,4972794,3,NO,LOW
41,HEALTHCARE,NORTH AMERICA,884927,3,21,4965217,5,YES,MEDIUM
42,EDUCATION,ASIA,965188,22,49,5032273,2,YES,LOW
43,OTHER,NORTH AMERICA,702318,4,49,4963433,3,NO,LOW
44,HEALTHCARE,AFRICA,1417241,31,20,4914779,7,YES,MEDIUM
45,EDUCATION,SOUTH AMERICA,1292148,34,25,4977351,3,YES,MEDIUM
46,ECOMMERCE,ASIA,1222714,5,17,4982551,0,YES,LOW
