,Invested Amount,Successful Attacks,Failed Attacks,Business Value,Number of Employees,Employee Training,Known Vulnerabilities,External Advisor,Risk
0,734240,29,0,5006577,58502,2,9,0,2
1,1298563,30,40,5010682,22547,1,4,1,2
2,384418,6,24,5004666,12540,1,6,0,2
3,133058,13,31,4978776,40092,2,5,1,1
4,579157,39,32,4992176,48295,2,3,0,1
5,431536,28,35,4983415,70809,0,6,1,2
6,406583,33,0,5022999,16069,2,4,0,2
7,754801,1,39,5015466,23088,0,2,1,1
8,266868,3,39,4976176,15024,0,5,0,2
9,18056,21,39,5008035,75894,0,2,1,2
10,759831,44,24,5012503,88634,1,3,0,2
11,28291,5,41,4907793,45762,0,0,1,1
12,472307,22,21,5059527,21865,0,4,0,2
13,708745,46,4,4967488,69887,1,2,1,1
14,1297528,15,25,4966565,21504,0,9,0,2
15,809035,24,36,4975805,80678,1,1,1,1
16,634789,7,16,5040209,79230,0,8,0,2
17,870797,18,7,4976536,9179,0,9,1,2
18,594146,37,31,4985040,38569,2,9,0,2
19,486409,34,5,5026841,27076,1,1,1,2
20,1476273,40,16,4969265,13885,0,8,0,2
21,904001,12,9,4978428,79114,0,4,1,2
22,191655,34,42,4991237,71911,0,5,0,2
23,392157,21,4,4963222,12755,0,4,1,2
24,293027,37,14,5044753,8735,1,6,0,2
25,729167,46,14,4991339,44728,0,4,1,2
26,251517,9,8,5037933,79596,0,7,0,2
27,299911,20,15,4962587,34531,1,1,1,1
28,410834,1,29,4909630,54120,0,2,0,2
29,1023184,4,3,5005732,78239,0,3,1,1
30,106580,47,20,4970836,22212,1,8,0,2
31,503120,11,2,5004075,40374,2,4,1,1
32,885514,29,32,4957389,23486,1,9,0,2
33,187137,45,3,4998697,26292,2,1,1,2
34,1326033,38,3,4986632,3521,1,4,0,2
35,146318,29,48,4871324,51601,0,4,1,2
36,274400,39,26,4904651,26816,1,3,0,2
37,775595,10,2,5018418,14150,0,9,1,2
38,746969,46,17,4968055,4574,2,7,0,2
39,406681,22,16,5020861,48863,1,3,1,1
40,1317010,10,40,5012475,52769,2,3,0,1
41,469476,31,44,4953268,49001,0,1,1,2
42,1191789,24,16,5011789,44611,0,0,0,2
43,41716,4,47,4981524,63856,2,4,1,0
44,1197839,40,27,5007732,3810,0,2,0,2
45,1075019,43,6,5021025,3798,0,7,1,2
46,85240,34,33,5007075,87052,0,1,0,2
47,380510,35,32,4996924,16328,2,4,1,2
48,197308,36,17,4983612,19224,1,0,0,2
49,1293415,8,35,4970158,15150,0,9,1,2
50,391285,13,1,5001313,48607,0,4,0,2
51,1136635,8,36,4961145,16136,1,3,1,1
52,917700,49,32,4953918,61830,0,6,0,2
53,411506,41,16,5026290,76884,0,3,1,2
54,1300042,33,20,5050719,48099,0,2,0,2
55,1120851,12,15,5051097,85707,2,2,1,0
56,1353183,45,18,5028953,11127,1,2,0,2
57,356984,34,10,4953844,53675,2,6,1,1
58,43019,43,8,4976235,61499,0,3,0,2
59,190464,16,20,5026022,43549,2,5,1,1
60,610750,21,18,4964008,4963,1,4,0,2
61,905750,3,1,4936155,68256,1,1,1,0
62,1409775,26,3,5027737,27041,0,1,0,2
63,609054,3,47,5014557,7672,2,6,1,2
64,1237717,36,38,4900475,31576,2,5,0,2
65,1062405,37,42,5100364,75261,0,3,1,2
66,336876,39,39,5016158,89691,0,7,0,2
67,271416,11,8,4950530,56867,2,8,1,1
68,1333820,34,11,4956481,21972,1,0,0,2
69,749296,35,18,4954876,58293,1,8,1,2
70,1101397,28,45,4956849,35838,2,4,0,1
71,808143,8,10,5036121,31499,2,2,1,1
72,713613,23,42,5047767,36639,1,3,0,2
73,1177734,30,16,5011070,48242,0,8,1,2
74,731243,22,21,4998488,4755,0,4,0,2
75,1322956,26,31,5055785,33814,1,1,1,1
76,1128505,37,7,5048730,61385,2,0,0,1
77,660675,6,45,4970332,74396,0,7,1,2
78,742630,18,5,4980794,1098,2,1,0,2
79,154568,14,30,5104052,1875,1,9,1,2
80,62310,6,23,4997462,3443,0,5,0,2
81,1407622,34,24,4987193,83434,2,3,1,0
82,1327999,5,43,4917769,89579,0,0,0,1
83,1299861,16,5,5018545,16948,0,7,1,2
84,282772,7,15,5016065,3718,0,3,0,2
85,694545,43,19,5014123,34139,2,8,1,2
86,796939,4,11,5004541,15799,2,2,0,1
87,1202271,37,43,4935681,29184,1,0,1,1
88,241284,47,7,4996037,1497,1,7,0,2
89,1293166,4,17,5117205,12822,1,5,1,1
90,724287,26,44,5028490,57334,1,4,0,2
91,21824,12,24,5051020,89917,1,8,1,1
92,893039,45,20,4848575,40005,0,9,0,2
93,484107,41,41,5006136,80849,1,7,1,2
94,1485823,3,13,4997484,7612,2,0,0,1
95,879148,48,4,4988057,64888,1,1,1,1
96,1104420,38,6,4975048,59312,2,2,0,1
97,147472,2,36,5013916,89539,0,4,1,2
98,1430641,22,38,4985298,83655,0,2,0,2
99,68464,21,27,4932311,53663,0,2,1,2
100,168943,18,21,5034780,8730,0,8,0,2
101,976045,27,3,5095044,76676,1,2,1,1
102,944189,30,34,4986514,2078,1,5,0,2
103,1092817,38,39,4959744,51134,0,6,1,2
104,505688,18,15,4892959,8789,1,4,0,2
105,245542,11,16,5054054,12089,0,7,1,2
106,908111,21,40,5037144,57286,2,3,0,1
107,1195584,45,41,5053576,33160,0,4,1,2
108,1156708,9,2,5020614,63903,0,9,0,2
109,543334,30,0,4978805,38755,1,9,1,2
110,1361591,11,13,4976121,34682,1,4,0,1
111,439188,23,27,5006230,62480,1,9,1,2
112,1104930,48,17,5069871,47071,0,8,0,2
113,1043317,31,12,4997242,28044,0,9,1,2
114,287382,37,47,4995448,40717,2,9,0,2
115,478056,38,48,5064644,81397,2,1,1,0
116,486644,49,49,4976682,29573,0,6,0,2
117,285642,43,19,5002020,15557,2,7,1,2
118,1241894,41,31,5046585,6448,0,3,0,2
119,1219469,16,31,4948656,28652,1,7,1,2
120,1237329,29,22,4983062,45516,2,6,0,1
121,759817,29,38,4956643,16569,0,0,1,2
122,30904,13,25,4976659,85703,2,2,0,0
123,800046,27,13,5042868,51097,0,5,1,2
124,1228654,8,32,5002755,83415,0,8,0,2
125,524319,39,19,5023908,17212,0,4,1,2
126,340383,36,0,5037956,87581,1,6,0,2
127,234828,14,48,5048489,3711,0,6,1,2
128,816170,14,20,5008108,13030,1,6,0,2
129,19127,5,13,4974416,54138,0,4,1,2
130,266045,9,32,4994528,36405,2,3,0,1
131,1380503,24,17,5032959,46183,0,4,1,2
132,1030512,33,26,4947206,4187,2,4,0,2
133,184941,34,19,4955167,80539,2,9,1,1
134,460882,24,6,4907778,84038,2,4,0,0
135,961517,25,6,4990282,69553,1,2,1,1
136,721003,12,15,5051990,3346,1,0,0,2
137,1063045,34,21,5114334,84455,1,3,1,1
138,1338821,19,15,4995503,41305,2,9,0,2
139,1090931,26,41,4962237,76331,1,3,1,1
140,226183,37,46,4952740,81170,2,6,0,1
141,61762,44,29,5042517,19819,1,2,1,2
142,665546,12,21,4965352,6872,2,5,0,2
143,660279,36,40,5050823,65102,1,2,1,1
144,1507814,40,32,5098012,78073,2,3,0,1
145,116979,29,43,4914843,84795,0,0,1,2
146,132460,15,36,4983960,76398,1,5,0,1
147,976489,44,31,4955867,35978,2,2,1,1
148,1485805,45,49,4988057,86371,0,0,0,2
149,559683,22,40,5023064,17658,0,4,1,2
150,580020,31,23,4995079,72347,1,1,0,1
151,1179018,47,48,5021713,88532,0,5,1,2
152,538973,23,46,4942717,37011,0,7,0,2
153,16582,41,32,5073671,32936,0,5,1,2
154,1223970,20,12,4982751,47053,2,1,0,1
155,709179,6,19,5012510,29643,2,3,1,1
156,1052543,11,17,4872778,55340,1,9,0,2
157,719604,30,26,5048128,25655,2,8,1,2
158,1241868,8,27,4965083,34045,1,0,0,1
