,Invested Amount,Successful Attacks,Failed Attacks,Business Value,Number of Employees,Employee Training,Known Vulnerabilities,External Advisor,Risk
0,359337,17,14,5080812,70740,2,5,0,1
1,101552,42,43,5113695,62334,0,5,1,2
2,348252,36,30,5063345,30539,1,5,0,2
3,742265,15,19,5035243,81940,1,9,1,1
4,655249,38,32,5004001,42024,0,0,0,2
5,733405,47,25,4958620,62519,1,8,1,2
6,351194,47,49,4911518,83707,1,8,0,2
7,1006387,36,42,5094373,59170,2,3,1,1
8,703780,27,45,5120119,77082,2,7,0,1
9,1195791,28,33,5035214,88214,1,1,1,1
10,923296,37,39,5086462,50170,1,7,0,2
11,1439135,8,3,4994734,38987,1,4,1,1
12,1146259,39,21,4924560,66072,1,8,0,2
13,345388,31,28,4939283,3613,0,2,1,2
14,362751,31,1,4996746,50021,0,4,0,2
15,1223766,28,45,4998311,47285,2,7,1,1
16,610089,39,32,4963316,42195,2,9,0,2
17,1304261,32,13,5010529,55867,2,5,1,1
18,1011552,25,14,4954220,1538,0,2,0,2
19,377274,12,25,5015565,59142,2,7,1,1
20,686185,49,4,5014001,16297,0,4,0,2
21,549111,49,7,4986445,37907,1,4,1,2
22,1396279,24,1,4997214,3169,0,9,0,2
23,1190690,19,25,4941217,105,2,7,1,2
24,1200274,39,28,4982995,6324,2,2,0,2
25,874469,1,18,5106070,12372,2,7,1,1
26,688065,47,35,5013640,26990,2,4,0,2
27,822992,39,37,5097828,47214,2,6,1,1
28,77920,23,32,4982435,35220,2,4,0,2
29,674262,1,42,4995152,8935,1,6,1,2
30,1346016,10,3,4919243,55481,2,6,0,1
31,1135256,40,43,4989898,43815,2,0,1,1
32,1396950,39,5,4985939,68916,2,5,0,1
33,228177,3,30,5076593,28949,1,2,1,1
34,1113689,25,21,5049982,85120,1,8,0,2
35,338588,43,20,4983104,69489,2,7,1,1
36,278645,21,39,4988726,8379,2,7,0,2
37,1435624,2,39,4903619,34548,0,9,1,2
38,393009,15,42,4981960,37694,2,9,0,2
39,152612,26,11,5012964,66236,0,9,1,2
40,1222723,44,22,4912375,2907,1,7,0,2
41,1279595,7,0,4971595,37799,2,2,1,0
42,74668,14,34,4928786,60316,2,3,0,1
43,1454557,6,3,5064409,55063,1,7,1,1
44,1466626,31,28,5107864,32887,0,2,0,2
45,158052,20,14,4976760,18726,1,5,1,2
46,680791,38,43,5032445,30063,2,5,0,2
47,197465,35,43,5072470,11472,1,5,1,2
48,943248,9,12,4936050,12287,1,5,0,2
49,614181,26,48,4983257,269,1,5,1,2
50,79694,6,1,5041301,48616,2,6,0,1
51,1145747,23,27,5054803,31840,1,9,1,2
52,849576,5,6,5080836,56998,0,2,0,2
53,503369,27,21,4970028,40311,2,6,1,1
54,640067,42,7,4910116,47039,2,2,0,1
55,618286,4,20,5036165,75067,1,6,1,1
56,864072,4,48,4979226,24874,2,1,0,1
57,579711,21,4,5067413,42719,1,8,1,2
58,1043663,33,7,4926822,3785,2,9,0,2
59,1302091,13,25,4985473,86712,1,3,1,1
60,972090,49,9,4984550,57945,2,3,0,1
61,1367425,29,40,4919001,33932,0,5,1,2
62,88497,1,47,5036620,3205,2,7,0,2
63,386531,30,25,5002162,78553,0,4,1,2
64,103135,2,26,5057361,9154,1,5,0,2
65,910880,9,2,4963971,60673,2,3,1,0
66,1191603,6,45,5084233,51644,1,3,0,1
67,272405,21,40,4950183,57410,0,6,1,2
68,1246591,18,46,5070546,10491,2,7,0,2
69,578617,14,16,4962546,58419,0,5,1,2
70,858665,4,30,5027357,62298,2,0,0,0
71,252632,38,48,4941848,82052,2,5,1,1
72,1055049,24,27,4933773,41702,2,3,0,1
73,480150,43,14,5016993,44028,0,5,1,2
74,52200,25,46,5039171,31596,0,7,0,2
75,1163143,26,34,4981456,21031,0,3,1,2
76,968525,8,4,5004529,54713,1,3,0,1
77,536275,28,40,4996337,20232,2,9,1,2
78,504744,28,10,4986922,1380,2,4,0,2
79,61679,33,47,4969436,20016,1,1,1,2
80,637026,29,11,5021822,1023,0,0,0,2
81,1192746,31,46,5059121,30232,1,5,1,2
82,1166931,34,23,4982558,13418,2,3,0,2
83,928015,29,1,4967839,89042,0,2,1,2
84,262033,10,19,5051440,77866,0,1,0,2
85,4613,4,40,4971849,60990,2,3,1,0
86,1065423,9,44,4934188,38265,2,0,0,1
87,1096588,35,21,4953485,24375,0,0,1,2
88,566295,15,25,5047705,69464,1,6,0,2
89,338074,45,4,5081400,15015,1,6,1,2
90,989440,43,18,4973337,84442,0,1,0,2
91,1039953,43,26,4994698,15249,1,1,1,2
92,1148370,45,34,5043605,37070,1,9,0,2
93,670377,7,48,5021611,28011,1,9,1,2
